STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-01,0.03,79,82.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-02,0.0,78,,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-03,0.0,79,83.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-04,0.0,79,83.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-05,0.0,79,83.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-06,0.0,80,83.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-07,0.0,79,83.0,72.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-08,0.0,79,83.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-09,0.0,79,83.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-10,0.0,79,83.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-11,0.0,80,83.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-12,0.0,79,82.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-13,0.65,79,80.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-14,0.0,79,82.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-15,0.0,80,,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-16,0.0,80,83.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-17,0.0,78,,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-18,0.0,79,83.0,73.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-19,0.0,77,81.0,69.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-20,0.0,78,,74.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-21,0.0,78,83.0,73.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-22,0.0,79,83.0,73.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-23,0.0,79,83.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-24,0.0,80,84.0,74.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-25,0.0,81,86.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-26,0.0,82,87.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-27,0.0,80,86.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-28,0.0,78,83.0,72.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-29,0.0,79,84.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-30,0.0,81,,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-31,0.0,81,86.0,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-01,0.0,81,86.0,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-02,0.0,80,84.0,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-03,0.02,80,,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-04,1.3,77,81.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-05,3.47,79,81.0,74.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-06,0.0,80,,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-07,0.0,80,85.0,73.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-09,0.0,82,87.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-10,0.0,81,85.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-11,0.0,81,86.0,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-12,0.0,82,,80.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-13,0.0,82,86.0,79.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-14,0.11,81,86.0,79.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-15,0.09,81,86.0,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-16,0.0,82,,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-17,0.0,82,87.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-18,0.0,82,89.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-19,0.0,83,88.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-20,0.0,82,87.0,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-21,0.0,82,,79.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-22,0.0,81,86.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-23,0.0,80,86.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-24,0.0,80,87.0,71.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-25,0.0,81,86.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-26,0.0,83,88.0,79.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-27,0.0,82,89.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-28,0.0,82,90.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-01,0.0,82,88.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-02,0.0,83,,78.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-03,0.0,82,87.0,
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-04,0.0,82,88.0,74.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-05,0.0,83,,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-06,0.0,84,93.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-07,0.0,83,92.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-08,0.0,83,91.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-09,0.0,83,90.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-10,0.0,83,90.0,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-11,0.0,84,90.0,73.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-12,0.0,83,,76.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-13,0.0,84,,79.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-14,0.0,82,89.0,77.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-15,0.0,83,90.0,75.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-16,0.0,83,,74.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-17,0.0,84,,80.0
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-03-18,0.0,84,90.0,77.0
