STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-01,0.0,81,89.0,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-02,0.0,78,,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-03,0.0,81,90.0,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-04,0.0,81,91.0,72.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-05,0.0,81,90.0,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-06,0.0,81,88.0,73.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-07,0.0,81,87.0,73.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-08,0.0,82,90.0,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-09,0.0,83,92.0,75.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-10,0.0,82,88.0,75.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-11,0.0,82,89.0,77.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-12,0.0,82,90.0,76.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-13,0.0,82,88.0,76.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-14,0.52,82,89.0,75.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-15,0.06,81,,75.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-16,0.0,82,92.0,76.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-17,0.0,79,,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-18,0.0,79,88.0,74.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-19,0.0,78,85.0,72.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-20,0.0,79,,72.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-21,0.0,80,88.0,73.0
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-22,0.0,80,88.0,73.0
