"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-02","0.00","78",,"72"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-03","0.00","81","87","71"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-04","0.00","83","88","69"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-05","0.00","84","90","65"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-06","0.00","82","88","71"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-07","0.00","80","89","68"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-08","0.00","82","90","71"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-09","0.00","83","89","71"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-10","0.00","81","88","72"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-11","0.00","85","90","73"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-12","0.00","84","90","74"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-13","0.00","82","87","72"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-14","0.00","80","86","74"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-15","0.00","81",,"72"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-16","0.00","82","89","74"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-17","0.00","80",,"72"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-19","0.00","82","89","66"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-20","0.00","80",,"69"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-21","0.00","82","90","69"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-22","0.00","82","92","69"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-23","0.00","82","92","69"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-24","0.00","83","92","70"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-26","0.00","87","94","76"
