NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-03,0.0,81,87.0,71.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-04,0.0,83,88.0,69.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-05,0.0,84,90.0,65.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-06,0.0,82,88.0,71.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-07,0.0,80,89.0,68.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-08,0.0,82,90.0,71.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-09,0.0,83,89.0,71.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-10,0.0,81,88.0,72.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-11,0.0,85,90.0,73.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-12,0.0,84,90.0,74.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-13,0.0,82,87.0,72.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-14,0.0,80,86.0,74.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-16,0.0,82,89.0,74.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-19,0.0,82,89.0,66.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-21,0.0,82,90.0,69.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-22,0.0,82,92.0,69.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-23,0.0,82,92.0,69.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-24,0.0,83,92.0,70.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-26,0.0,87,94.0,76.0
"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-27,0.0,84,94.0,70.0
