NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-01,0.0,61,71.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-03,0.0,59,71.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-04,0.0,59,72.0,47.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-06,0.0,59,71.0,37.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-07,0.0,59,70.0,46.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-08,0.0,59,69.0,45.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-09,0.0,61,70.0,50.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-10,0.0,61,68.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-11,0.0,62,70.0,53.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-12,0.07,59,66.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-13,0.0,61,66.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-14,2.03,60,67.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-18,0.0,56,71.0,42.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-19,0.0,53,70.0,41.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-21,0.0,56,71.0,44.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-22,0.0,57,71.0,42.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-23,0.0,57,72.0,45.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-24,0.0,56,69.0,44.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-25,0.0,59,71.0,45.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-26,0.0,60,68.0,48.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-28,0.0,56,69.0,47.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-29,0.0,57,69.0,45.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-31,0.0,59,67.0,46.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-01,0.0,60,69.0,46.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-02,0.0,60,69.0,47.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-04,0.08,60,62.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-05,0.3,61,67.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-07,0.0,62,70.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-09,0.09,62,68.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-10,0.99,62,70.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-11,0.0,58,65.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-13,0.0,60,66.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-15,0.04,61,69.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-17,0.17,62,72.0,53.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-18,0.01,62,73.0,50.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-19,0.0,62,71.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-20,0.0,59,66.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-22,0.02,62,70.0,50.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-23,0.0,61,72.0,44.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-24,0.0,63,72.0,53.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-26,0.0,63,69.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-28,0.2,59,71.0,48.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-01,0.0,61,74.0,47.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-03,0.0,63,73.0,53.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-04,0.0,61,73.0,50.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-06,0.0,63,73.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-07,0.0,64,75.0,50.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-09,0.0,63,73.0,48.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-10,0.0,62,71.0,48.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-14,0.0,63,74.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-15,0.0,62,77.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-19,0.16,60,72.0,48.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-20,0.0,60,73.0,44.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-24,0.0,64,73.0,45.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-27,0.0,61,76.0,42.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-29,0.0,62,74.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-03-31,0.0,62,75.0,46.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-01,0.0,63,75.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-03,0.0,61,74.0,46.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-05,0.01,63,74.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-07,0.0,61,74.0,51.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-12,0.0,65,75.0,49.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-13,0.0,65,73.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-15,0.0,64,75.0,48.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-16,0.0,64,76.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-17,0.0,63,75.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-20,0.11,61,73.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-21,0.28,65,72.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-24,0.07,66,73.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-27,0.0,61,69.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-04-28,0.0,66,73.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-03,0.0,64,71.0,60.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-06,0.0,63,77.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-07,0.0,64,74.0,53.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-08,0.0,62,72.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-09,0.0,64,77.0,50.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-12,0.0,63,75.0,52.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-17,0.0,61,71.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-18,0.0,64,72.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-21,0.0,64,72.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-23,0.59,63,72.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-27,0.0,65,75.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-28,0.0,65,75.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-05-31,0.0,63,72.0,55.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-03,0.0,63,71.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-04,0.48,63,70.0,60.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-06,0.0,63,73.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-07,0.14,63,71.0,60.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-11,0.02,63,69.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-12,0.06,61,67.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-15,0.0,65,71.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-16,0.0,63,72.0,59.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-17,0.0,64,69.0,59.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-18,0.0,65,70.0,59.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-21,0.17,61,66.0,59.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-23,0.17,62,69.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-24,0.0,63,67.0,59.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-26,0.0,61,68.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-27,0.0,65,72.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-06-29,0.0,62,71.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-03,0.0,63,71.0,58.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-06,0.0,63,71.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-07,0.0,63,70.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-08,0.0,66,74.0,57.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-09,0.0,64,73.0,59.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-15,0.01,62,70.0,54.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-16,0.0,62,71.0,56.0
"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-07-17,0.0,61,66.0,57.0
