HCHO Reading,Location,Current Date,Next Date
,"Deniyaya, Matara",2019-01-01,2019-01-02
5.803530712000793e-06,"Deniyaya, Matara",2019-01-02,2019-01-03
0.0002362357772653,"Deniyaya, Matara",2019-01-03,2019-01-04
6.437245753953118e-05,"Deniyaya, Matara",2019-01-04,2019-01-05
5.349707092885017e-05,"Deniyaya, Matara",2019-01-05,2019-01-06
0.0001315594859189,"Deniyaya, Matara",2019-01-06,2019-01-07
6.269859896976347e-05,"Deniyaya, Matara",2019-01-07,2019-01-08
2.298263979970634e-05,"Deniyaya, Matara",2019-01-08,2019-01-09
,"Deniyaya, Matara",2019-01-09,2019-01-10
7.190247186715247e-05,"Deniyaya, Matara",2019-01-10,2019-01-11
0.0001542091441034,"Deniyaya, Matara",2019-01-11,2019-01-12
0.0001406986305217,"Deniyaya, Matara",2019-01-12,2019-01-13
,"Deniyaya, Matara",2019-01-13,2019-01-14
,"Deniyaya, Matara",2019-01-14,2019-01-15
7.187311712186784e-05,"Deniyaya, Matara",2019-01-15,2019-01-16
3.5053075407631695e-05,"Deniyaya, Matara",2019-01-16,2019-01-17
0.0001694853136055,"Deniyaya, Matara",2019-01-17,2019-01-18
0.0003082256948783,"Deniyaya, Matara",2019-01-18,2019-01-19
0.0008997101837438,"Deniyaya, Matara",2019-01-19,2019-01-20
6.0375266285424514e-05,"Deniyaya, Matara",2019-01-20,2019-01-21
-7.58294658224229e-05,"Deniyaya, Matara",2019-01-21,2019-01-22
3.363791867442001e-05,"Deniyaya, Matara",2019-01-22,2019-01-23
0.0001753175803488,"Deniyaya, Matara",2019-01-23,2019-01-24
5.2793313875356256e-05,"Deniyaya, Matara",2019-01-24,2019-01-25
,"Deniyaya, Matara",2019-01-25,2019-01-26
,"Deniyaya, Matara",2019-01-26,2019-01-27
,"Deniyaya, Matara",2019-01-27,2019-01-28
0.0001586517467092,"Deniyaya, Matara",2019-01-28,2019-01-29
0.0001037720817875,"Deniyaya, Matara",2019-01-29,2019-01-30
,"Deniyaya, Matara",2019-01-30,2019-01-31
4.768084267461017e-05,"Deniyaya, Matara",2019-01-31,2019-02-01
5.617168790830808e-05,"Deniyaya, Matara",2019-02-01,2019-02-02
-1.3768205917585874e-06,"Deniyaya, Matara",2019-02-02,2019-02-03
0.0001028843263981,"Deniyaya, Matara",2019-02-03,2019-02-04
0.000103548176412,"Deniyaya, Matara",2019-02-04,2019-02-05
8.412867361170815e-05,"Deniyaya, Matara",2019-02-05,2019-02-06
-2.009600759496182e-06,"Deniyaya, Matara",2019-02-06,2019-02-07
0.0001495798303155,"Deniyaya, Matara",2019-02-07,2019-02-08
0.0002421511611906,"Deniyaya, Matara",2019-02-08,2019-02-09
,"Deniyaya, Matara",2019-02-09,2019-02-10
,"Deniyaya, Matara",2019-02-10,2019-02-11
9.253276543587998e-05,"Deniyaya, Matara",2019-02-11,2019-02-12
0.0001574102690481,"Deniyaya, Matara",2019-02-12,2019-02-13
6.523994226828871e-05,"Deniyaya, Matara",2019-02-13,2019-02-14
-0.0001202388983189,"Deniyaya, Matara",2019-02-14,2019-02-15
,"Deniyaya, Matara",2019-02-15,2019-02-16
8.038732615390482e-05,"Deniyaya, Matara",2019-02-16,2019-02-17
0.0005638530012409,"Deniyaya, Matara",2019-02-17,2019-02-18
0.0001293821304845,"Deniyaya, Matara",2019-02-18,2019-02-19
0.0001168615135118,"Deniyaya, Matara",2019-02-19,2019-02-20
8.337509543093406e-05,"Deniyaya, Matara",2019-02-20,2019-02-21
2.514510513135289e-05,"Deniyaya, Matara",2019-02-21,2019-02-22
0.0001425070075459,"Deniyaya, Matara",2019-02-22,2019-02-23
0.0001366694245436,"Deniyaya, Matara",2019-02-23,2019-02-24
0.0001627625602433,"Deniyaya, Matara",2019-02-24,2019-02-25
0.0001543677869547,"Deniyaya, Matara",2019-02-25,2019-02-26
,"Deniyaya, Matara",2019-02-26,2019-02-27
,"Deniyaya, Matara",2019-02-27,2019-02-28
0.0001663931743162,"Deniyaya, Matara",2019-02-28,2019-03-01
,"Deniyaya, Matara",2019-03-01,2019-03-02
-2.715724766397789e-05,"Deniyaya, Matara",2019-03-02,2019-03-03
0.0004122660029679,"Deniyaya, Matara",2019-03-03,2019-03-04
,"Deniyaya, Matara",2019-03-04,2019-03-05
,"Deniyaya, Matara",2019-03-05,2019-03-06
9.971738595225878e-05,"Deniyaya, Matara",2019-03-06,2019-03-07
0.0001356645928779,"Deniyaya, Matara",2019-03-07,2019-03-08
9.87355639618488e-05,"Deniyaya, Matara",2019-03-08,2019-03-09
,"Deniyaya, Matara",2019-03-09,2019-03-10
5.646698909773664e-05,"Deniyaya, Matara",2019-03-10,2019-03-11
0.0001590144307147,"Deniyaya, Matara",2019-03-11,2019-03-12
0.0001171489486397,"Deniyaya, Matara",2019-03-12,2019-03-13
,"Deniyaya, Matara",2019-03-13,2019-03-14
0.0002678319367111,"Deniyaya, Matara",2019-03-14,2019-03-15
0.0001973485736028,"Deniyaya, Matara",2019-03-15,2019-03-16
5.13548232774661e-05,"Deniyaya, Matara",2019-03-16,2019-03-17
,"Deniyaya, Matara",2019-03-17,2019-03-18
4.457512841327116e-05,"Deniyaya, Matara",2019-03-18,2019-03-19
0.0002551880668476,"Deniyaya, Matara",2019-03-19,2019-03-20
8.954724124801195e-05,"Deniyaya, Matara",2019-03-20,2019-03-21
,"Deniyaya, Matara",2019-03-21,2019-03-22
0.0001081070493299,"Deniyaya, Matara",2019-03-22,2019-03-23
0.0001883458499592,"Deniyaya, Matara",2019-03-23,2019-03-24
0.000171727504349,"Deniyaya, Matara",2019-03-24,2019-03-25
0.0003326517375935,"Deniyaya, Matara",2019-03-25,2019-03-26
0.0001650504145461,"Deniyaya, Matara",2019-03-26,2019-03-27
0.0001789494366016,"Deniyaya, Matara",2019-03-27,2019-03-28
0.0001818030703527,"Deniyaya, Matara",2019-03-28,2019-03-29
4.044847087752865e-05,"Deniyaya, Matara",2019-03-29,2019-03-30
-3.0314153493748305e-05,"Deniyaya, Matara",2019-03-30,2019-03-31
,"Deniyaya, Matara",2019-03-31,2019-04-01
0.0001046297780589,"Deniyaya, Matara",2019-04-01,2019-04-02
8.128573946871756e-05,"Deniyaya, Matara",2019-04-02,2019-04-03
6.149668792726311e-05,"Deniyaya, Matara",2019-04-03,2019-04-04
9.296972991768896e-05,"Deniyaya, Matara",2019-04-04,2019-04-05
,"Deniyaya, Matara",2019-04-05,2019-04-06
0.0001659114059293,"Deniyaya, Matara",2019-04-06,2019-04-07
,"Deniyaya, Matara",2019-04-07,2019-04-08
0.000143890350864,"Deniyaya, Matara",2019-04-08,2019-04-09
,"Deniyaya, Matara",2019-04-09,2019-04-10
6.20313630194549e-05,"Deniyaya, Matara",2019-04-10,2019-04-11
8.426213025813922e-05,"Deniyaya, Matara",2019-04-11,2019-04-12
0.0001655760267849,"Deniyaya, Matara",2019-04-12,2019-04-13
0.0002243445980376,"Deniyaya, Matara",2019-04-13,2019-04-14
,"Deniyaya, Matara",2019-04-14,2019-04-15
,"Deniyaya, Matara",2019-04-15,2019-04-16
,"Deniyaya, Matara",2019-04-16,2019-04-17
,"Deniyaya, Matara",2019-04-17,2019-04-18
0.0001076937462352,"Deniyaya, Matara",2019-04-18,2019-04-19
,"Deniyaya, Matara",2019-04-19,2019-04-20
,"Deniyaya, Matara",2019-04-20,2019-04-21
,"Deniyaya, Matara",2019-04-21,2019-04-22
0.0001167011796496,"Deniyaya, Matara",2019-04-22,2019-04-23
5.12579766773392e-05,"Deniyaya, Matara",2019-04-23,2019-04-24
0.0001783669821192,"Deniyaya, Matara",2019-04-24,2019-04-25
,"Deniyaya, Matara",2019-04-25,2019-04-26
,"Deniyaya, Matara",2019-04-26,2019-04-27
,"Deniyaya, Matara",2019-04-27,2019-04-28
0.0001871501881396,"Deniyaya, Matara",2019-04-28,2019-04-29
,"Deniyaya, Matara",2019-04-29,2019-04-30
,"Deniyaya, Matara",2019-04-30,2019-05-01
0.0001513876780742,"Deniyaya, Matara",2019-05-01,2019-05-02
,"Deniyaya, Matara",2019-05-02,2019-05-03
,"Deniyaya, Matara",2019-05-03,2019-05-04
