HCHO Reading,Current Date,Next Date,Location
9.855171270164706e-05,2019-01-01,2019-01-02,Nuwara Eliya Proper
9.853963188436491e-05,2019-01-02,2019-01-03,Nuwara Eliya Proper
0.0001908293886956,2019-01-03,2019-01-04,Nuwara Eliya Proper
5.0976259171277377e-05,2019-01-04,2019-01-05,Nuwara Eliya Proper
6.456645496655256e-05,2019-01-05,2019-01-06,Nuwara Eliya Proper
8.982348709518115e-05,2019-01-06,2019-01-07,Nuwara Eliya Proper
4.097797651418246e-05,2019-01-07,2019-01-08,Nuwara Eliya Proper
9.846714698067206e-05,2019-01-08,2019-01-09,Nuwara Eliya Proper
9.845506616338992e-05,2019-01-09,2019-01-10,Nuwara Eliya Proper
9.844298534610778e-05,2019-01-10,2019-01-11,Nuwara Eliya Proper
3.914670787137749e-05,2019-01-11,2019-01-12,Nuwara Eliya Proper
9.841882371154349e-05,2019-01-12,2019-01-13,Nuwara Eliya Proper
9.840674289426135e-05,2019-01-13,2019-01-14,Nuwara Eliya Proper
4.211950727039948e-05,2019-01-14,2019-01-15,Nuwara Eliya Proper
4.27055256923008e-05,2019-01-15,2019-01-16,Nuwara Eliya Proper
9.837050044241492e-05,2019-01-16,2019-01-17,Nuwara Eliya Proper
0.0001077155480912,2019-01-17,2019-01-18,Nuwara Eliya Proper
2.1021983917616697e-05,2019-01-18,2019-01-19,Nuwara Eliya Proper
3.5177822608346057e-05,2019-01-19,2019-01-20,Nuwara Eliya Proper
8.95718212363389e-06,2019-01-20,2019-01-21,Nuwara Eliya Proper
0.0001169623557084,2019-01-21,2019-01-22,Nuwara Eliya Proper
0.0001423180803672,2019-01-22,2019-01-23,Nuwara Eliya Proper
5.387086215710865e-05,2019-01-23,2019-01-24,Nuwara Eliya Proper
5.8914353326833725e-05,2019-01-24,2019-01-25,Nuwara Eliya Proper
9.826177308687564e-05,2019-01-25,2019-01-26,Nuwara Eliya Proper
9.82496922695935e-05,2019-01-26,2019-01-27,Nuwara Eliya Proper
0.0003344381531667,2019-01-27,2019-01-28,Nuwara Eliya Proper
0.0001509017772374,2019-01-28,2019-01-29,Nuwara Eliya Proper
0.0001841569476548,2019-01-29,2019-01-30,Nuwara Eliya Proper
3.054402387193301e-05,2019-01-30,2019-01-31,Nuwara Eliya Proper
3.6008610393953005e-05,2019-01-31,2019-02-01,Nuwara Eliya Proper
7.778077086008773e-05,2019-02-01,2019-02-02,Nuwara Eliya Proper
9.81651265486185e-05,2019-02-02,2019-02-03,Nuwara Eliya Proper
9.815304573133635e-05,2019-02-03,2019-02-04,Nuwara Eliya Proper
9.814096491405422e-05,2019-02-04,2019-02-05,Nuwara Eliya Proper
9.812888409677208e-05,2019-02-05,2019-02-06,Nuwara Eliya Proper
9.811680327948993e-05,2019-02-06,2019-02-07,Nuwara Eliya Proper
8.962996522611401e-05,2019-02-07,2019-02-08,Nuwara Eliya Proper
6.902842232093944e-05,2019-02-08,2019-02-09,Nuwara Eliya Proper
9.80805608276435e-05,2019-02-09,2019-02-10,Nuwara Eliya Proper
5.539429507152505e-05,2019-02-10,2019-02-11,Nuwara Eliya Proper
9.805639919307922e-05,2019-02-11,2019-02-12,Nuwara Eliya Proper
9.804431837579708e-05,2019-02-12,2019-02-13,Nuwara Eliya Proper
7.972334424266592e-05,2019-02-13,2019-02-14,Nuwara Eliya Proper
9.80201567412328e-05,2019-02-14,2019-02-15,Nuwara Eliya Proper
9.800807592395065e-05,2019-02-15,2019-02-16,Nuwara Eliya Proper
9.799599510666851e-05,2019-02-16,2019-02-17,Nuwara Eliya Proper
9.798391428938637e-05,2019-02-17,2019-02-18,Nuwara Eliya Proper
0.0001733092446862,2019-02-18,2019-02-19,Nuwara Eliya Proper
0.0002395688257623,2019-02-19,2019-02-20,Nuwara Eliya Proper
0.0001075724904002,2019-02-20,2019-02-21,Nuwara Eliya Proper
-7.767660943011708e-05,2019-02-21,2019-02-22,Nuwara Eliya Proper
-2.5037994831152824e-05,2019-02-22,2019-02-23,Nuwara Eliya Proper
0.0001895221819805,2019-02-23,2019-02-24,Nuwara Eliya Proper
0.0002737589225376,2019-02-24,2019-02-25,Nuwara Eliya Proper
9.788726775112923e-05,2019-02-25,2019-02-26,Nuwara Eliya Proper
9.787518693384708e-05,2019-02-26,2019-02-27,Nuwara Eliya Proper
9.786310611656494e-05,2019-02-27,2019-02-28,Nuwara Eliya Proper
9.78510252992828e-05,2019-02-28,2019-03-01,Nuwara Eliya Proper
9.783894448200066e-05,2019-03-01,2019-03-02,Nuwara Eliya Proper
0.0001235405797752,2019-03-02,2019-03-03,Nuwara Eliya Proper
9.781478284743638e-05,2019-03-03,2019-03-04,Nuwara Eliya Proper
9.780270203015423e-05,2019-03-04,2019-03-05,Nuwara Eliya Proper
0.0001477264081287,2019-03-05,2019-03-06,Nuwara Eliya Proper
6.384192250393643e-05,2019-03-06,2019-03-07,Nuwara Eliya Proper
0.0001673222246266,2019-03-07,2019-03-08,Nuwara Eliya Proper
8.084443465562647e-05,2019-03-08,2019-03-09,Nuwara Eliya Proper
9.774229794374352e-05,2019-03-09,2019-03-10,Nuwara Eliya Proper
6.543632959168698e-05,2019-03-10,2019-03-11,Nuwara Eliya Proper
6.152930957380892e-05,2019-03-11,2019-03-12,Nuwara Eliya Proper
0.0002626515739848,2019-03-12,2019-03-13,Nuwara Eliya Proper
9.769397467461494e-05,2019-03-13,2019-03-14,Nuwara Eliya Proper
9.745691103711994e-05,2019-03-14,2019-03-15,Nuwara Eliya Proper
0.0001547611296419,2019-03-15,2019-03-16,Nuwara Eliya Proper
0.0001265224542416,2019-03-16,2019-03-17,Nuwara Eliya Proper
9.764565140548639e-05,2019-03-17,2019-03-18,Nuwara Eliya Proper
9.763357058820424e-05,2019-03-18,2019-03-19,Nuwara Eliya Proper
3.81896059352209e-05,2019-03-19,2019-03-20,Nuwara Eliya Proper
-4.17166297978817e-06,2019-03-20,2019-03-21,Nuwara Eliya Proper
9.759732813635781e-05,2019-03-21,2019-03-22,Nuwara Eliya Proper
6.845485111101992e-05,2019-03-22,2019-03-23,Nuwara Eliya Proper
0.0001184572953092,2019-03-23,2019-03-24,Nuwara Eliya Proper
0.0002337061979083,2019-03-24,2019-03-25,Nuwara Eliya Proper
5.820339193343703e-05,2019-03-25,2019-03-26,Nuwara Eliya Proper
8.722993536189284e-05,2019-03-26,2019-03-27,Nuwara Eliya Proper
9.746027246583777e-05,2019-03-27,2019-03-28,Nuwara Eliya Proper
0.0001692817181159,2019-03-28,2019-03-29,Nuwara Eliya Proper
0.0001940701991971,2019-03-29,2019-03-30,Nuwara Eliya Proper
0.000199954111486,2019-03-30,2019-03-31,Nuwara Eliya Proper
0.0001030857769564,2019-03-31,2019-04-01,Nuwara Eliya Proper
0.0001345494559591,2019-04-01,2019-04-02,Nuwara Eliya Proper
0.000144982511753,2019-04-02,2019-04-03,Nuwara Eliya Proper
0.0001425276102801,2019-04-03,2019-04-04,Nuwara Eliya Proper
0.0001196842667319,2019-04-04,2019-04-05,Nuwara Eliya Proper
9.741611587712567e-05,2019-04-05,2019-04-06,Nuwara Eliya Proper
0.0001029167153844,2019-04-06,2019-04-07,Nuwara Eliya Proper
9.73919542425614e-05,2019-04-07,2019-04-08,Nuwara Eliya Proper
6.757815417269227e-05,2019-04-08,2019-04-09,Nuwara Eliya Proper
9.73677926079971e-05,2019-04-09,2019-04-10,Nuwara Eliya Proper
9.735571179071496e-05,2019-04-10,2019-04-11,Nuwara Eliya Proper
-3.0204162612790245e-05,2019-04-11,2019-04-12,Nuwara Eliya Proper
0.0001408357462238,2019-04-12,2019-04-13,Nuwara Eliya Proper
0.0001905907485365,2019-04-13,2019-04-14,Nuwara Eliya Proper
9.73073885215864e-05,2019-04-14,2019-04-15,Nuwara Eliya Proper
9.729530770430425e-05,2019-04-15,2019-04-16,Nuwara Eliya Proper
9.72832268870221e-05,2019-04-16,2019-04-17,Nuwara Eliya Proper
9.727114606973996e-05,2019-04-17,2019-04-18,Nuwara Eliya Proper
9.725906525245783e-05,2019-04-18,2019-04-19,Nuwara Eliya Proper
-5.74071960045633e-05,2019-04-19,2019-04-20,Nuwara Eliya Proper
9.723490361789353e-05,2019-04-20,2019-04-21,Nuwara Eliya Proper
9.72228228006114e-05,2019-04-21,2019-04-22,Nuwara Eliya Proper
0.0001024999823835,2019-04-22,2019-04-23,Nuwara Eliya Proper
0.0001742585006953,2019-04-23,2019-04-24,Nuwara Eliya Proper
0.0002955116204609,2019-04-24,2019-04-25,Nuwara Eliya Proper
-4.44070437953798e-05,2019-04-25,2019-04-26,Nuwara Eliya Proper
7.111501928962651e-05,2019-04-26,2019-04-27,Nuwara Eliya Proper
9.715033789691854e-05,2019-04-27,2019-04-28,Nuwara Eliya Proper
