HCHO Reading,Location,Current Date,Next Date
9.220391253917748e-05,Kandy Proper,2019-01-02,2019-01-03
,Kandy Proper,2019-01-03,2019-01-04
0.0001908681983853,Kandy Proper,2019-01-04,2019-01-05
0.0001219517840206,Kandy Proper,2019-01-05,2019-01-06
-6.514086129388805e-05,Kandy Proper,2019-01-06,2019-01-07
0.0001632382063926,Kandy Proper,2019-01-07,2019-01-08
-6.735205533914268e-05,Kandy Proper,2019-01-08,2019-01-09
0.0001279693658243,Kandy Proper,2019-01-09,2019-01-10
4.546048424126012e-05,Kandy Proper,2019-01-10,2019-01-11
3.600074175192105e-05,Kandy Proper,2019-01-11,2019-01-12
0.000128662969801,Kandy Proper,2019-01-12,2019-01-13
,Kandy Proper,2019-01-13,2019-01-14
,Kandy Proper,2019-01-14,2019-01-15
9.63639634671553e-05,Kandy Proper,2019-01-15,2019-01-16
,Kandy Proper,2019-01-16,2019-01-17
0.0001200971278484,Kandy Proper,2019-01-17,2019-01-18
-0.0001197246567136,Kandy Proper,2019-01-18,2019-01-19
0.0002825263761529,Kandy Proper,2019-01-19,2019-01-20
7.150631692646835e-05,Kandy Proper,2019-01-20,2019-01-21
0.0002833741508232,Kandy Proper,2019-01-21,2019-01-22
0.0002659407549829,Kandy Proper,2019-01-22,2019-01-23
5.8649506506635245e-05,Kandy Proper,2019-01-23,2019-01-24
-3.940558338151006e-06,Kandy Proper,2019-01-24,2019-01-25
0.0001092931769982,Kandy Proper,2019-01-25,2019-01-26
7.03689579655349e-05,Kandy Proper,2019-01-26,2019-01-27
0.0001647056354631,Kandy Proper,2019-01-27,2019-01-28
0.0001130180465294,Kandy Proper,2019-01-28,2019-01-29
0.0001141272676955,Kandy Proper,2019-01-29,2019-01-30
-3.000156427858255e-05,Kandy Proper,2019-01-30,2019-01-31
1.5133123262338617e-05,Kandy Proper,2019-01-31,2019-02-01
9.510527997488848e-05,Kandy Proper,2019-02-01,2019-02-02
3.0694719505487384e-05,Kandy Proper,2019-02-02,2019-02-03
,Kandy Proper,2019-02-03,2019-02-04
,Kandy Proper,2019-02-04,2019-02-05
,Kandy Proper,2019-02-05,2019-02-06
3.521572625649498e-05,Kandy Proper,2019-02-06,2019-02-07
0.000144733119523,Kandy Proper,2019-02-07,2019-02-08
7.648542999350917e-05,Kandy Proper,2019-02-08,2019-02-09
,Kandy Proper,2019-02-09,2019-02-10
,Kandy Proper,2019-02-10,2019-02-11
6.33983046513048e-05,Kandy Proper,2019-02-11,2019-02-12
6.099527672631667e-05,Kandy Proper,2019-02-12,2019-02-13
,Kandy Proper,2019-02-13,2019-02-14
,Kandy Proper,2019-02-14,2019-02-15
1.8666852257755813e-05,Kandy Proper,2019-02-15,2019-02-16
,Kandy Proper,2019-02-16,2019-02-17
0.0001525741076541,Kandy Proper,2019-02-17,2019-02-18
0.0001316059809503,Kandy Proper,2019-02-18,2019-02-19
5.400887798459826e-05,Kandy Proper,2019-02-19,2019-02-20
3.130874441109665e-05,Kandy Proper,2019-02-20,2019-02-21
-1.98339014766147e-06,Kandy Proper,2019-02-21,2019-02-22
0.0001148911736891,Kandy Proper,2019-02-22,2019-02-23
0.0002118789208893,Kandy Proper,2019-02-23,2019-02-24
3.663116612296087e-05,Kandy Proper,2019-02-24,2019-02-25
4.493778690247384e-05,Kandy Proper,2019-02-25,2019-02-26
,Kandy Proper,2019-02-26,2019-02-27
,Kandy Proper,2019-02-27,2019-02-28
,Kandy Proper,2019-02-28,2019-03-01
,Kandy Proper,2019-03-01,2019-03-02
0.000113648535998,Kandy Proper,2019-03-02,2019-03-03
0.0001120620195392,Kandy Proper,2019-03-03,2019-03-04
0.0002530551243115,Kandy Proper,2019-03-04,2019-03-05
0.0002326652722074,Kandy Proper,2019-03-05,2019-03-06
0.0001284045619553,Kandy Proper,2019-03-06,2019-03-07
0.0001646112972623,Kandy Proper,2019-03-07,2019-03-08
0.000177511546709,Kandy Proper,2019-03-08,2019-03-09
,Kandy Proper,2019-03-09,2019-03-10
0.0001138036418406,Kandy Proper,2019-03-10,2019-03-11
0.0001638923213232,Kandy Proper,2019-03-11,2019-03-12
0.0001764080320851,Kandy Proper,2019-03-12,2019-03-13
4.218809439496275e-05,Kandy Proper,2019-03-13,2019-03-14
0.0001620084507506,Kandy Proper,2019-03-14,2019-03-15
0.0001104143683767,Kandy Proper,2019-03-15,2019-03-16
0.0001981838605184,Kandy Proper,2019-03-16,2019-03-17
0.0001831507209264,Kandy Proper,2019-03-17,2019-03-18
-4.018462979616311e-05,Kandy Proper,2019-03-18,2019-03-19
0.0002067529282929,Kandy Proper,2019-03-19,2019-03-20
0.0001473883183271,Kandy Proper,2019-03-20,2019-03-21
,Kandy Proper,2019-03-21,2019-03-22
0.0001790459257074,Kandy Proper,2019-03-22,2019-03-23
,Kandy Proper,2019-03-23,2019-03-24
0.0002471924438964,Kandy Proper,2019-03-24,2019-03-25
0.000219244095107,Kandy Proper,2019-03-25,2019-03-26
9.90805371426681e-05,Kandy Proper,2019-03-26,2019-03-27
0.0002333027310032,Kandy Proper,2019-03-27,2019-03-28
0.0002802419303598,Kandy Proper,2019-03-28,2019-03-29
0.0003589957958315,Kandy Proper,2019-03-29,2019-03-30
0.0001790145679855,Kandy Proper,2019-03-30,2019-03-31
0.0002927234455484,Kandy Proper,2019-03-31,2019-04-01
0.0003099209346141,Kandy Proper,2019-04-01,2019-04-02
0.0001707946467973,Kandy Proper,2019-04-02,2019-04-03
0.0002427714893424,Kandy Proper,2019-04-03,2019-04-04
0.0002338054752107,Kandy Proper,2019-04-04,2019-04-05
0.0001627528749175,Kandy Proper,2019-04-05,2019-04-06
0.0001725198818631,Kandy Proper,2019-04-06,2019-04-07
0.000270485470537,Kandy Proper,2019-04-07,2019-04-08
0.0002632230681999,Kandy Proper,2019-04-08,2019-04-09
0.0002203272160841,Kandy Proper,2019-04-09,2019-04-10
,Kandy Proper,2019-04-10,2019-04-11
,Kandy Proper,2019-04-11,2019-04-12
0.0002119455363545,Kandy Proper,2019-04-12,2019-04-13
8.435604480337817e-05,Kandy Proper,2019-04-13,2019-04-14
,Kandy Proper,2019-04-14,2019-04-15
,Kandy Proper,2019-04-15,2019-04-16
,Kandy Proper,2019-04-16,2019-04-17
,Kandy Proper,2019-04-17,2019-04-18
0.0001367393922806,Kandy Proper,2019-04-18,2019-04-19
0.0001502073732536,Kandy Proper,2019-04-19,2019-04-20
-0.0002142092153893,Kandy Proper,2019-04-20,2019-04-21
0.0001330528287211,Kandy Proper,2019-04-21,2019-04-22
0.0002652660056679,Kandy Proper,2019-04-22,2019-04-23
0.0001897010952234,Kandy Proper,2019-04-23,2019-04-24
0.000115200123351,Kandy Proper,2019-04-24,2019-04-25
,Kandy Proper,2019-04-25,2019-04-26
,Kandy Proper,2019-04-26,2019-04-27
,Kandy Proper,2019-04-27,2019-04-28
0.0001738814462858,Kandy Proper,2019-04-28,2019-04-29
,Kandy Proper,2019-04-29,2019-04-30
,Kandy Proper,2019-04-30,2019-05-01
,Kandy Proper,2019-05-01,2019-05-02
,Kandy Proper,2019-05-02,2019-05-03
,Kandy Proper,2019-05-03,2019-05-04
0.0002141238897929,Kandy Proper,2019-05-04,2019-05-05
7.564946081848705e-05,Kandy Proper,2019-05-05,2019-05-06
0.0001629478259072,Kandy Proper,2019-05-06,2019-05-07
0.0001492011730946,Kandy Proper,2019-05-07,2019-05-08
0.0001659245919994,Kandy Proper,2019-05-08,2019-05-09
0.0001472336010995,Kandy Proper,2019-05-09,2019-05-10
0.0002406209292845,Kandy Proper,2019-05-10,2019-05-11
0.0001774082428821,Kandy Proper,2019-05-11,2019-05-12
7.851454164433835e-05,Kandy Proper,2019-05-12,2019-05-13
8.480921821304122e-05,Kandy Proper,2019-05-13,2019-05-14
0.0002565932360046,Kandy Proper,2019-05-14,2019-05-15
0.0001084387637971,Kandy Proper,2019-05-15,2019-05-16
0.0002581514024065,Kandy Proper,2019-05-16,2019-05-17
0.0001626728519143,Kandy Proper,2019-05-17,2019-05-18
0.0001316183951811,Kandy Proper,2019-05-18,2019-05-19
0.0001846422713296,Kandy Proper,2019-05-19,2019-05-20
0.0001931410056934,Kandy Proper,2019-05-20,2019-05-21
0.0001087283892095,Kandy Proper,2019-05-21,2019-05-22
,Kandy Proper,2019-05-22,2019-05-23
0.0003283253734832,Kandy Proper,2019-05-23,2019-05-24
0.000101328985777,Kandy Proper,2019-05-24,2019-05-25
-1.1236420671396437e-05,Kandy Proper,2019-05-25,2019-05-26
0.0001002702697374,Kandy Proper,2019-05-26,2019-05-27
0.0001920604607636,Kandy Proper,2019-05-27,2019-05-28
0.0001766797704591,Kandy Proper,2019-05-28,2019-05-29
0.0002707986967031,Kandy Proper,2019-05-29,2019-05-30
0.0002678791857473,Kandy Proper,2019-05-30,2019-05-31
0.0001484190889814,Kandy Proper,2019-05-31,2019-06-01
2.742769585121168e-05,Kandy Proper,2019-06-01,2019-06-02
0.00013723955328,Kandy Proper,2019-06-02,2019-06-03
,Kandy Proper,2019-06-03,2019-06-04
0.0001102947689259,Kandy Proper,2019-06-04,2019-06-05
,Kandy Proper,2019-06-05,2019-06-06
,Kandy Proper,2019-06-06,2019-06-07
