HCHO Reading,Location,Current Date,Next Date
,Nuwara Eliya Proper,2019-01-01,2019-01-02
,Nuwara Eliya Proper,2019-01-02,2019-01-03
0.0001908293886956,Nuwara Eliya Proper,2019-01-03,2019-01-04
5.0976259171277377e-05,Nuwara Eliya Proper,2019-01-04,2019-01-05
6.456645496655256e-05,Nuwara Eliya Proper,2019-01-05,2019-01-06
8.982348709518115e-05,Nuwara Eliya Proper,2019-01-06,2019-01-07
4.097797651418246e-05,Nuwara Eliya Proper,2019-01-07,2019-01-08
,Nuwara Eliya Proper,2019-01-08,2019-01-09
,Nuwara Eliya Proper,2019-01-09,2019-01-10
,Nuwara Eliya Proper,2019-01-10,2019-01-11
3.914670787137749e-05,Nuwara Eliya Proper,2019-01-11,2019-01-12
,Nuwara Eliya Proper,2019-01-12,2019-01-13
,Nuwara Eliya Proper,2019-01-13,2019-01-14
4.211950727039948e-05,Nuwara Eliya Proper,2019-01-14,2019-01-15
4.27055256923008e-05,Nuwara Eliya Proper,2019-01-15,2019-01-16
,Nuwara Eliya Proper,2019-01-16,2019-01-17
0.0001077155480912,Nuwara Eliya Proper,2019-01-17,2019-01-18
2.1021983917616697e-05,Nuwara Eliya Proper,2019-01-18,2019-01-19
3.5177822608346057e-05,Nuwara Eliya Proper,2019-01-19,2019-01-20
8.95718212363389e-06,Nuwara Eliya Proper,2019-01-20,2019-01-21
0.0001169623557084,Nuwara Eliya Proper,2019-01-21,2019-01-22
0.0001423180803672,Nuwara Eliya Proper,2019-01-22,2019-01-23
5.387086215710865e-05,Nuwara Eliya Proper,2019-01-23,2019-01-24
5.8914353326833725e-05,Nuwara Eliya Proper,2019-01-24,2019-01-25
,Nuwara Eliya Proper,2019-01-25,2019-01-26
,Nuwara Eliya Proper,2019-01-26,2019-01-27
0.0003344381531667,Nuwara Eliya Proper,2019-01-27,2019-01-28
0.0001509017772374,Nuwara Eliya Proper,2019-01-28,2019-01-29
0.0001841569476548,Nuwara Eliya Proper,2019-01-29,2019-01-30
3.054402387193301e-05,Nuwara Eliya Proper,2019-01-30,2019-01-31
3.6008610393953005e-05,Nuwara Eliya Proper,2019-01-31,2019-02-01
7.778077086008773e-05,Nuwara Eliya Proper,2019-02-01,2019-02-02
,Nuwara Eliya Proper,2019-02-02,2019-02-03
,Nuwara Eliya Proper,2019-02-03,2019-02-04
,Nuwara Eliya Proper,2019-02-04,2019-02-05
,Nuwara Eliya Proper,2019-02-05,2019-02-06
,Nuwara Eliya Proper,2019-02-06,2019-02-07
8.962996522611401e-05,Nuwara Eliya Proper,2019-02-07,2019-02-08
6.902842232093944e-05,Nuwara Eliya Proper,2019-02-08,2019-02-09
,Nuwara Eliya Proper,2019-02-09,2019-02-10
5.539429507152505e-05,Nuwara Eliya Proper,2019-02-10,2019-02-11
,Nuwara Eliya Proper,2019-02-11,2019-02-12
,Nuwara Eliya Proper,2019-02-12,2019-02-13
7.972334424266592e-05,Nuwara Eliya Proper,2019-02-13,2019-02-14
,Nuwara Eliya Proper,2019-02-14,2019-02-15
,Nuwara Eliya Proper,2019-02-15,2019-02-16
,Nuwara Eliya Proper,2019-02-16,2019-02-17
,Nuwara Eliya Proper,2019-02-17,2019-02-18
0.0001733092446862,Nuwara Eliya Proper,2019-02-18,2019-02-19
0.0002395688257623,Nuwara Eliya Proper,2019-02-19,2019-02-20
0.0001075724904002,Nuwara Eliya Proper,2019-02-20,2019-02-21
-7.767660943011708e-05,Nuwara Eliya Proper,2019-02-21,2019-02-22
-2.5037994831152824e-05,Nuwara Eliya Proper,2019-02-22,2019-02-23
0.0001895221819805,Nuwara Eliya Proper,2019-02-23,2019-02-24
0.0002737589225376,Nuwara Eliya Proper,2019-02-24,2019-02-25
,Nuwara Eliya Proper,2019-02-25,2019-02-26
,Nuwara Eliya Proper,2019-02-26,2019-02-27
,Nuwara Eliya Proper,2019-02-27,2019-02-28
,Nuwara Eliya Proper,2019-02-28,2019-03-01
,Nuwara Eliya Proper,2019-03-01,2019-03-02
0.0001235405797752,Nuwara Eliya Proper,2019-03-02,2019-03-03
